anio,codigo_comuna,comuna,sector_modelo,sector_origen,trimestre,codigo_indicador,indicador,valor,archivo_origen
2015,5606,SANTO DOMINGO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5701,SAN FELIPE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5702,CATEMU,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5704,PANQUEHUE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5705,PUTAENDO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5706,SANTA MARÍA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5801,QUILPUÉ,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5802,LIMACHE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5803,OLMUÉ,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5804,VILLA ALEMANA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5703,LLAILLAY,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6101,RANCAGUA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6102,CODEGUA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6103,COINCO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6104,COLTAUCO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6105,DOÑIHUE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6106,GRANEROS,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
