codigo_comuna,total_hogares,porcentaje_computador,porcentaje_internet_fija,porcentaje_internet_movil
4303,11220,29.66131907308378,18.538324420677363,82.0499108734403
4304,4463,32.26529240421242,20.41227873627605,77.70557920681156
4305,1882,30.18065887353879,5.472901168969182,76.9394261424017
5101,109579,57.05107730495806,69.38190711723962,87.9493333576689
5102,10603,44.28935207016882,43.30849759502028,86.20201829670849
5103,18259,65.41431622761378,75.56273618489512,90.88668601785422
5104,376,56.91489361702128,1.5957446808510638,86.96808510638297
5105,8504,45.7549388523048,47.0719661335842,85.92427093132643
5107,13113,43.02600472813239,58.68222374742622,86.22740791580874
5109,132347,62.43360257504893,73.1501280724157,89.78594150226299
5201,2077,53.73134328358209,7.077515647568608,88.10784785748676
5301,23192,55.24749913763367,71.45136253880648,87.15074163504657
5302,5769,50.77136418790084,62.818512740509625,87.53683480672561
5303,4046,50.71675729115176,60.75135936727632,85.5907068709837
5304,7132,52.50981491867639,62.324733595064494,86.79192372406057
5401,14322,43.81371316855188,43.855606758832565,85.70730344923894
5402,6779,46.76205930078183,37.158872990116535,85.61734769139991
5403,2715,51.01289134438306,46.74033149171271,92.63351749539595
5404,3820,40.602094240837694,19.476439790575917,86.91099476439791
5405,2815,50.87033747779751,42.55772646536412,89.20071047957371
5501,33899,51.59444231393257,66.29104103365881,87.05861529838639
5502,17536,45.54630474452554,62.28330291970803,81.99133211678831
5503,6682,41.20023944926668,37.7431906614786,86.51601316970967
5504,8582,64.70519692379398,74.20181775809834,89.82754602656723
5506,7534,41.398991239713304,49.1239713299708,84.85532253782851
5601,34941,44.04853896568501,56.8129131965313,85.43258635986378
5602,6448,56.389578163771716,51.302729528535984,89.98138957816377
5603,9318,33.869929169349646,44.8916076411247,83.19381841596909
5604,7727,43.41917950045296,51.58535007117898,89.15491134981235
5605,6787,40.150287313982616,44.05481066745248,88.6547811993517
5606,4663,56.916148402316104,52.434055329187224,84.85953248981343
5701,29681,49.26720797816785,59.74529160068731,85.68444459418482
5702,4928,34.030032467532465,22.483766233766232,82.93425324675324
5703,8937,43.80664652567976,48.21528477117601,84.65928163813359
5704,2442,41.1957411957412,39.96723996723996,89.06633906633907
5705,6049,44.75119854521408,37.41114233757646,84.72474789221359
