codigo_comuna,poblacion_total,promedio_edad,porcentaje_menores_15,porcentaje_adultos_mayores,porcentaje_discapacidad,promedio_escolaridad,porcentaje_alfabetizacion
4106,28047,38.85000178272186,18.369166042714017,15.630905266160374,11.9812382739212,9.476754622150422,95.66915824662885
4201,32009,39.80824143209722,18.082414320972227,17.048330157143305,11.62111617835231,9.375137168835241,94.69572638350948
4202,9639,43.97551613237888,15.094926859632743,23.436041083099905,13.453011787606792,8.15929203539823,92.21032132424537
4203,22879,38.840727304515056,19.23160977315442,16.102102364613838,13.50988471688504,9.379027302256167,94.61174944403261
4204,27823,39.412141034396,18.427200517557417,15.958020342881788,10.555911990036607,9.218461316397228,94.57724406178014
4301,118696,38.13050144908,18.783278290759586,14.623070701624318,11.592387248107475,9.560760687609935,95.464370535754
4302,12954,43.86004322989038,15.184498996448973,22.525860737995988,16.684037521045457,8.731544665012407,92.89038677579843
4303,29997,39.85508550855086,18.16848351501817,16.805013834716807,14.444560998636316,8.42929208565797,93.76617924858323
4304,12076,39.56318317323617,18.797615104339187,17.630009937065253,14.911746804625684,8.611157299634186,93.73586218896816
4305,4334,,,,16.662687992360944,8.422026839426191,92.6712819288613
5101,284938,39.40015020811545,15.53916992468537,16.332675880366956,12.36075052017161,10.93362182622379,96.75582226874958
5102,29876,38.55827420002678,18.07136162806266,14.767706520283841,10.181172291296626,9.928602864010292,95.56701030927836
5103,48294,39.26433925539404,16.260819149376733,15.26069491034083,8.242599151690062,11.97724985322486,97.30734737624954
5104,904,,,,6.107784431137724,10.347237880496055,97.23889555822329
5105,22539,40.380007986157324,17.494121300856293,18.093083100403746,13.316147176001875,10.021016311166877,96.04904632152589
5107,35754,39.0258992000895,18.660849135761033,16.286289645913744,13.988607369607786,10.061955414733507,95.98455598455598
5109,334871,40.12032693186332,14.678488134236767,17.734291712331014,10.774589753852311,11.522910409769645,97.1668665211851
5201,4800,,,,6.062734082397004,10.477984665936473,96.66274970622797
5301,63440,38.474810844892815,18.30075662042875,15.386191677175285,11.049164551081022,10.500341329438474,96.49988371706701
5302,16597,37.23938061095379,20.437428450924866,13.22528167741158,11.021471223478592,9.856667271956903,94.93864055446049
5303,11855,37.249852382960775,21.079713201180937,13.277098270771825,9.615384615384617,9.85000423477598,94.70198675496688
5304,20112,38.3760938743039,19.02346857597454,14.33969769291965,11.06164562928822,9.908650726301602,95.3254375851588
5401,39270,39.909931245225366,17.336389101094984,16.720142602495542,12.511726393095499,9.636907654144183,95.19749014560374
5402,20015,38.88303772170872,18.131401448913316,15.98800899325506,11.375703096251906,9.192976303792395,94.02851580996476
5403,7561,40.184102631927,17.643168893003573,17.510911255124984,12.51042535446205,9.876494023904382,95.78639966624948
5404,10206,40.99461101312953,16.225749559082892,18.08739956888105,13.863216266173753,9.28941939286767,93.97862720920675
5405,7980,40.403383458646616,18.80952380952381,18.45864661654135,10.133333333333333,10.028611216609697,96.44
5501,96753,38.762198588157474,17.663534980827468,15.909584198939566,11.836067360619108,10.330006778247041,96.06156533129571
5502,50631,38.749481542928244,17.9119511761569,16.04945586695898,12.892596454640252,9.815605520482743,95.56905224051927
5503,19286,38.150471844861556,18.604168827128486,14.259048014103495,11.420261222697837,9.223980016652789,94.09891859252346
5504,24939,36.65985003408316,20.193271582661694,12.253899514816151,9.354743041138839,10.753231587001167,96.30791403501335
5506,22136,39.72438561619082,17.36086013733285,16.90007228044814,12.583852704695753,9.43626423690205,94.50952380952381
5601,96770,38.38097550893872,18.42203162137026,15.06975302263098,13.672036798848946,9.8963672322265,95.76201852276074
5602,16076,44.48600398108982,15.028614083105248,24.956456830057228,10.881813417190775,11.160380928355197,96.3966920451562
5603,24599,41.20037399894305,17.553559087767795,20.561811455750235,16.454611660883348,9.429010574637266,95.29240267535586
5604,18971,44.01539191397396,15.418269991038954,25.117284276000213,13.442113442113444,10.622439180537771,96.7518045530261
5605,16260,45.125830258302585,14.797047970479705,26.34071340713407,15.50767642884789,10.288107202680067,96.56596953266202
5606,13171,40.947080707615214,18.08518715359502,18.78369144332245,8.352071956312239,10.71111452492511,95.93626780397521
