codigo_comuna,total_viviendas,promedio_personas_vivienda,porcentaje_hacinamiento,porcentaje_agua_red,porcentaje_saneamiento,porcentaje_electricidad
5303,4728,2.5074027072758036,4.187817258883249,77.30541455160744,56.45093062605753,81.74703891708968
5304,8218,2.4473107812119737,4.027743976636651,81.60136286201022,53.67486006327573,84.10805548795327
5401,24098,1.6295958170802556,2.726367333388663,47.98323512324674,30.575151464851857,56.668603203585356
5402,7339,2.727210791660989,4.333015397193078,83.78525684698188,55.6479084343916,88.49979561248126
5403,8022,0.9425330341560708,1.9321864871603094,26.20294190974819,24.00897531787584,32.18648716030915
5404,5037,2.0262060750446693,2.7198729402422077,61.544570180663094,44.927536231884055,73.21818542783403
5405,8100,0.9851851851851852,1.432098765432099,28.049382716049383,20.950617283950617,33.45679012345679
5501,37358,2.589887038920713,3.5628245623427377,83.05583810696504,76.55923764655496,87.27983296750361
5502,19744,2.5643739870340356,4.355753646677472,83.45826580226904,78.69732576985413,85.53484602917342
5503,7376,2.6146963123644253,5.585683297180044,80.50433839479393,37.75759219088937,87.20173535791757
5504,9860,2.529310344827586,3.3367139959432053,80.10141987829614,71.45030425963489,85.02028397565923
5506,8403,2.6342972747828157,4.914911341187671,79.32881113887898,64.38176841604188,86.14780435558728
5601,41029,2.3585756416193426,4.867288990713885,76.85539496453728,67.66677228301933,81.30590557898071
5602,21335,0.7535036325287087,1.1389735176939302,19.746894773845796,18.66416686196391,28.947738457932974
5603,18256,1.3474474145486415,3.2372918492550395,41.597283085013146,30.724145486415427,48.41695880806311
5604,18725,1.0131375166889185,1.8371161548731645,34.68090787716956,26.510013351134848,39.55674232309747
5605,25148,0.6465722920311754,1.2207730236996976,16.34722443136631,10.541593764911722,25.81119770955941
5606,8895,1.4807195053400788,1.7762788083192804,33.18718381112985,28.15064643057898,49.196177627880836
5701,31757,2.532134647479296,4.865069118619517,86.09125547123469,77.17983436722612,88.62927858424914
5702,5608,2.4536376604850214,4.56490727532097,81.20542082738945,45.114122681883025,85.11055634807418
5703,10458,2.4367947982405815,4.723656530885447,78.97303499713139,67.46987951807229,82.44406196213426
5704,2863,2.538945162417045,4.191407614390499,73.62906042612643,63.045756199790425,82.4310164163465
5705,6746,2.5698191520901275,4.313667358434628,80.69967388081827,36.15475837533353,84.82063445004448
5706,6090,2.485057471264368,3.891625615763547,78.62068965517241,45.02463054187192,85.89490968801313
5801,66244,2.453942998611195,3.8282712396594407,85.2862146005676,82.10253004045649,86.86069681782502
5802,24799,2.264002580749224,3.709827009153595,65.73248921327473,58.94592523892093,75.44255816766805
5803,10530,1.8782526115859448,3.665716999050332,46.41025641025641,35.21367521367522,67.39791073124405
5804,55321,2.522929809656369,2.9844001373800184,86.09750366045445,85.46302489109017,88.54684477865548
6101,100895,2.5545765399672926,4.100302294464543,88.22240943555181,85.96659893949155,89.22047673323752
