anio,codigo_comuna,nombre_comuna,codigo_region,nombre_region,poblacion_total,ingresos_municipales,ingresos_educacion,ingresos_salud,promedio_escolaridad,porcentaje_alfabetizacion,porcentaje_agua_red,porcentaje_saneamiento,porcentaje_electricidad,porcentaje_hacinamiento,promedio_personas_vivienda,porcentaje_computador,porcentaje_internet_fija,porcentaje_internet_movil,ingresos_municipales_pc,ingresos_educacion_pc,ingresos_salud_pc,ingresos_municipales_pc_norm,ingresos_educacion_pc_norm,ingresos_salud_pc_norm,promedio_escolaridad_norm,porcentaje_alfabetizacion_norm,porcentaje_agua_red_norm,porcentaje_saneamiento_norm,porcentaje_electricidad_norm,porcentaje_computador_norm,porcentaje_internet_fija_norm,porcentaje_internet_movil_norm,porcentaje_hacinamiento_inv,porcentaje_hacinamiento_norm,promedio_personas_vivienda_inv,promedio_personas_vivienda_norm,score_economico,score_capital_humano,score_infraestructura,score_habitabilidad,score_conectividad,iidc,ranking_iidc,percentil_iidc,categoria_iidc
2025,2104,TALTAL,2,Antofagasta,12097,6011711.0,10196234.0,254802.0,9.48,95.94,58.33,53.19,67.15,4.85,2.27,43.3,49.24,79.05,496.958832768455,842.8729437050508,21.063238819542036,1.4935600743330417,43.905595401735084,0.42761868699883515,42.89017341040463,79.79397781299525,60.050809780882815,56.095986226191755,69.67843964153928,44.643501262474445,51.37495956001293,73.27044025157234,8.46,63.56123215627348,1.02,34.81228668941979,15.275591387688985,61.34207561169994,61.941745216204616,49.186759422846634,56.42963369135324,48.83516106595868,139,60.0,Bajo
2025,2201,CALAMA,2,Antofagasta,166334,78731336.0,3244410.0,31118117.0,10.25,96.66,81.32,75.45,82.34,7.98,2.71,55.82,71.78,88.48,473.33278824533767,19.50539276395686,187.08211790734305,1.422554360202624,1.0160438643121308,3.7980773187776395,51.79190751445088,85.49920760697306,84.38657774955011,80.04949962337243,85.69319978914075,59.69700613201875,75.68208778173191,89.74493361285816,5.33,40.04507888805409,0.5800000000000001,19.795221843003414,2.0788918477641314,68.64555756071196,83.37642572068776,29.920150365528755,75.0413425088696,51.81247360071244,81,76.81159420289855,Medio
2025,2202,OLLAGÜE,2,Antofagasta,256,3379920.0,0.0,197500.0,9.52,95.2,18.72,12.79,17.81,1.83,0.58,39.22,12.75,88.24,13202.8125,0.0,771.484375,39.679732643152064,0.0,15.662412523735025,43.35260115606936,73.9302694136292,18.12215518153911,12.62240395996987,17.659462308908804,39.73788625706384,12.02415615227003,89.32564640111809,11.48,86.25093914350113,2.71,92.49146757679179,18.4473817222957,58.64143528484928,16.13467381680593,89.37120336014647,47.02922960348399,45.92478475751627,210,39.42028985507247,Bajo
2025,2203,SAN PEDRO DE ATACAMA,2,Antofagasta,9843,0.0,0.0,0.0,9.78,95.78,57.37,39.08,56.92,9.96,1.94,41.44,6.69,85.48,0.0,0.0,0.0,0.0,0.0,0.0,46.35838150289017,78.52614896988909,59.034614163226415,40.91251479608307,58.8929889298893,42.40711795118431,5.4890542435026415,84.50384346610763,3.3499999999999996,25.16904583020285,1.35,46.075085324232084,0.0,62.44226523638963,52.94670596306626,35.62206557721747,44.133338553598186,39.028875066054304,320,7.536231884057972,Bajo
2025,2301,TOCOPILLA,2,Antofagasta,25400,10958419.0,0.0,0.0,9.61,96.12,66.06,63.54,66.27,4.09,2.12,44.32,67.3,82.27,431.4338188976378,0.0,0.0,1.2966311978657847,0.0,0.0,44.39306358381502,81.22028526148976,68.23330157722029,67.2334014849887,68.75065893516079,45.8699050138271,70.85085732772566,78.89587700908456,9.22,69.27122464312548,1.17,39.931740614334466,0.4322103992885949,62.80667442265239,68.07245399912325,54.60148262872997,65.20554645021244,50.223673580001325,105,69.85507246376812,Medio
2025,2302,MARÍA ELENA,2,Antofagasta,4834,6446953.0,0.0,1142541.0,10.14,96.65,78.91,74.78,79.42,13.31,2.49,52.64,45.97,91.75,1333.6683905668183,0.0,236.35519238725692,4.008206976529755,0.0,4.798402463168453,50.52023121387285,85.419968304279,81.83550333439187,79.3285268481653,82.61465471797575,55.87351208368402,47.84859268845034,95.45772187281622,0.0,0.0,0.7999999999999998,27.303754266211595,2.935536479899403,67.97009975907592,81.25956163351097,13.651877133105797,66.39327554831686,46.442070110781785,203,41.449275362318836,Bajo
2025,3101,COPIAPÓ,3,Atacama,168831,47464810.0,0.0,28154742.0,10.24,96.26,75.84,73.73,82.17,4.98,2.61,53.3,65.86,88.14,281.13800190723265,0.0,166.76286937825398,0.8449321499876612,0.0,3.385562868780011,51.676300578034684,82.32963549920768,78.58579443209486,78.1986441407511,85.51396942540855,56.66706745220632,69.29796182465222,89.15094339622642,8.33,62.584522915101424,0.6800000000000002,23.208191126279868,1.4101650062558908,67.00296803862119,80.76613599941817,42.896357020690644,71.70532422436166,52.75619005786952,62,82.31884057971014,Medio
2025,3102,CALDERA,3,Atacama,18805,15485580.0,0.0,7264320.0,9.96,95.7,29.71,29.46,32.36,1.77,1.04,44.6,45.55,87.67,823.4820526455729,0.0,386.2972613666578,2.474892958254948,0.0,7.842475182097737,48.439306358381515,77.89223454833602,29.755477929501428,30.560637038631235,32.99947285187138,46.20656486713959,47.395664833387244,88.3298392732355,11.540000000000001,86.70172802404208,2.25,76.79180887372013,3.4391227134508946,63.16577045335877,31.10519594000135,81.74676844888111,60.64402299125411,48.02017610938925,162,53.333333333333336,Bajo
2025,3103,TIERRA AMARILLA,3,Atacama,11846,8939250.0,0.0,5606112.0,8.87,94.84,65.89,61.28,76.52,6.22,2.54,40.16,25.82,84.13,754.6218132703023,0.0,473.24936687489446,2.2679403950678094,0.0,9.607747157019245,35.838150289017335,71.0776545166403,68.05335026992697,64.8014634671258,79.55719557195572,40.86810147889863,26.118839641971313,82.14535290006988,7.090000000000001,53.26821938392187,0.75,25.597269624573375,3.9585625173623513,53.457902402828815,70.80400310300284,39.43274450424762,49.7107646736466,43.47279544021764,263,24.057971014492754,Bajo
2025,3201,CHAÑARAL,3,Atacama,12345,7450539.0,0.0,2836913.0,9.48,95.51,53.85,50.87,52.82,3.18,1.7,46.43,17.42,87.43,603.5268529769137,0.0,229.80259214256785,1.8138396019095842,0.0,4.665373808977695,42.89017341040463,76.38668779714745,55.30856356515296,53.59948348219089,54.57037427517133,48.40687747986052,17.06028254070959,87.91055206149548,10.13,76.10818933132984,1.59,54.26621160409556,2.1597378036290933,59.63843060377604,54.49280710750506,65.1872004677127,51.1259040273552,46.52081600199561,202,41.73913043478261,Bajo
